title,link,price,booking_date,star,cities,source
【買一送一】台灣桃園｜東眼山國家森林遊樂區門票｜平假日均可使用,https://www.kkday.com/zh-tw/product/100557,80,20220307,4.91,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
【高鐵票 75 折優惠】高鐵國旅聯票來回車票＆桃園 Xpark 都會型水生公園門票,https://www.kkday.com/zh-tw/product/116970,740,20220307,4.83,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
KKday專屬優惠｜台中福壽山農場入園門票,https://www.kkday.com/zh-tw/product/116885,70,20220306,4.72,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
屏東恆春｜鹿境梅花鹿生態園區門票｜墾丁小奈良,https://www.kkday.com/zh-tw/product/2125,185,20220307,4.67,"[{'id': 'A01-001-00015', 'name': '屏東'}]",KKday
【 7 折優惠】台北｜大直美麗華摩天輪門票（即買即用）,https://www.kkday.com/zh-tw/product/26672,135,20220306,4.81,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
【8折優惠】基隆野柳｜野柳海洋世界門票｜北海岸親子景點,https://www.kkday.com/zh-tw/product/105284,360,20220307,4.64,"[{'id': 'A01-001-00026', 'name': '基隆'}, {'id': 'A01-001-00006', 'name': '新北市'}]",KKday
台中三井 Outlet｜SNOWTOWN 雪樂地門票,https://www.kkday.com/zh-tw/product/104200,320,20220306,4.44,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【買一送一】台灣台中｜八仙山國家森林遊樂區門票｜平假日均可使用,https://www.kkday.com/zh-tw/product/100566,100,20220307,4.77,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【買一送一】新北三峽｜滿月圓國家森林遊樂區門票｜平假日均可使用,https://www.kkday.com/zh-tw/product/100554,80,20220307,4.88,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
【限時3折優惠】全台適用：騎士堡好品格兒童樂學券｜室內必玩樂園,https://www.kkday.com/zh-tw/product/101944,250,20220306,4.59,"[{'id': 'A01-001-00001', 'name': '台北'}, {'id': 'A01-001-00004', 'name': '高雄'}, {'id': 'A01-001-00008', 'name': '桃園'}, {'id': 'A01-001-00009', 'name': '新竹'}]",KKday
【2022澎湖花火節】海上遊船賞煙火 |  重光碼頭出發,https://www.kkday.com/zh-tw/product/102229,280,20220428,4.71,"[{'id': 'A01-001-00019', 'name': '澎湖'}]",KKday
【KKday 5折優惠】台中大里｜異想新樂園門票｜室內必玩樂園,https://www.kkday.com/zh-tw/product/115161,449,20220306,4.55,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【95折優惠】苗栗尚順育樂世界門票｜室內必玩樂園,https://www.kkday.com/zh-tw/product/27174,430,20220306,4.56,"[{'id': 'A01-001-00010', 'name': '苗栗'}]",KKday
【9折優惠】南投埔里｜Cona's 妮娜巧克力夢想城堡門票（即買即用）,https://www.kkday.com/zh-tw/product/101742,135,20220306,4.65,"[{'id': 'A01-001-00012', 'name': '南投'}]",KKday
【KKday限時75折】彰化永靖│成美文化園門票,https://www.kkday.com/zh-tw/product/119292,280,20220306,4.69,"[{'id': 'A01-001-00011', 'name': '彰化'}]",KKday
【買一送一】台灣台東｜知本國家森林遊樂區門票｜平假日均可使用,https://www.kkday.com/zh-tw/product/100565,80,20220306,4.84,"[{'id': 'A01-001-00018', 'name': '台東'}]",KKday
【基隆親子景點】國立海洋科技博物館｜主題館門票,https://www.kkday.com/zh-tw/product/39040,160,20220306,4.69,"[{'id': 'A01-001-00026', 'name': '基隆'}]",KKday
台灣花蓮｜新光兆豐休閒農場門票,https://www.kkday.com/zh-tw/product/118214,320,20220306,4.48,"[{'id': 'A01-001-00005', 'name': '花蓮'}]",KKday
【獨家44折】高雄｜夢境現實 Moondream Reality   MR劇院｜入場票券,https://www.kkday.com/zh-tw/product/126021,100,20220401,3.67,"[{'id': 'A01-001-00004', 'name': '高雄'}]",KKday
【85折優惠】彰化百果山探索樂園門票,https://www.kkday.com/zh-tw/product/116315,300,20220306,4.54,"[{'id': 'A01-001-00011', 'name': '彰化'}]",KKday
【買一送一】烏來｜內洞國家森林遊樂區門票,https://www.kkday.com/zh-tw/product/100475,65,20220307,4.88,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
【高鐵票 75 折優惠】高鐵國旅聯票單程車票＆桃園 Xpark 都會型水生公園門票,https://www.kkday.com/zh-tw/product/118924,645,20220307,4.73,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
線上優惠 67 折｜台中大坑紙箱王創意園區｜入園門票 & 主題套票 (含遊園小火車體驗券）,https://www.kkday.com/zh-tw/product/121622,200,20220306,4.71,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【台北當代藝術品】袖珍博物館電子門票,https://www.kkday.com/zh-tw/product/30573,140,20220306,4.78,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
國人限定優惠43折｜國立故宮博物院門票｜快速換票入場,https://www.kkday.com/zh-tw/product/101875,150,20220306,4.85,"[{'id': 'A01-001-00001', 'name': '台北'}, {'id': 'A01-001-00014', 'name': '嘉義'}]",KKday
台北木柵｜臺北市立動物園門票＆貓空纜車來回車票,https://www.kkday.com/zh-tw/product/115080,230,20220307,4.77,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
台灣台中｜聚奎居門票・旗袍租借・手作體驗課（法式香氛 / 膠彩岩繪 / 生態瓶DIY / 古蹟拍照教學）,https://www.kkday.com/zh-tw/product/119146,100,20220309,5,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
KKday獨家優惠套票｜新竹綠世界生態農場入場門票（加贈化石先生贈禮）,https://www.kkday.com/zh-tw/product/101863,360,20220308,4.67,"[{'id': 'A01-001-00009', 'name': '新竹'}]",KKday
【KKday 獨家優惠套票】台北｜2022 Viva Glamping 第二屆國際露營展,https://www.kkday.com/zh-tw/product/105215,799,20220318,4.5,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
KKday專屬優惠｜宜蘭宜農牧場門票＆動物互動體驗｜E-long goat farm,https://www.kkday.com/zh-tw/product/113949,160,20220306,4.78,"[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
【買一送一】台灣墾丁｜墾丁國家森林遊樂區門票,https://www.kkday.com/zh-tw/product/115240,100,20220306,4.91,"[{'id': 'A01-001-00016', 'name': '墾丁'}]",KKday
【饗樂輕旅行：限時 2 折】苗栗｜西湖渡假村｜平日雙人兩天一夜｜一泊三食 （須自行電話預約）,https://www.kkday.com/zh-tw/product/116824,3900,20220306,4.51,"[{'id': 'A01-001-00010', 'name': '苗栗'}]",KKday
台東布農部落休閒農場｜體驗套票,https://www.kkday.com/zh-tw/product/100041,240,20220306,4.75,"[{'id': 'A01-001-00018', 'name': '台東'}]",KKday
【 6 折優惠】臺南市美術館門票｜當期展覽・票價・營業時間（即買即用）,https://www.kkday.com/zh-tw/product/101730,120,20220306,4.82,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
